name,namings,Ibnhajar_rank,shuhra,laqab,nasab,selat_karaba,mazhab,kunia,death_year,tabaqa,zahabi_rank,living_city,birth_year,death_city,journey_city,id,narrated_from,narrated_to,id_in_full_list
عبد الله بن محمد بن أبي شيبة : إبراهيم بن عثمان بن خواستي,"['أبو بشر', 'أبو بكر', 'أبو بكر ابنا أبي شيبة', 'أبو بكر بن أبي', 'أبو بكر بن أبي شيبة', 'أبو بكر بن أبي شيبة عبد الله بن محمد', 'أبو بكر عبد الله بن أبي شيبة', 'أبو بكر عبد الله بن محمد', 'أبو بكر عبد الله بن محمد بن أبي شيبة', 'أبو بكر عبد الله بن محمد بن أبي شيبة العبسي', 'أبو بكر عبد الله بن محمد بن أبي شيبة الكوفي', 'أبو بكر هو ابن أبي شيبة', 'أبو بكر وهو ابن أبي شيبة', 'أبو بكر يعني ابن أبي شيبة', 'أبو بكرة بن أبي شيبة', 'أبو كريب بن أبي شيبة', 'ابن أبي شيبة', 'ابن أبي شيبة عبد الله بن محمد', 'ابنا أبي شيبة', 'عبد الله', 'عبد الله ابن أبي شيبة', 'عبد الله بن إبراهيم', 'عبد الله بن أبي شيبة', 'عبد الله بن أبي شيبة العبسي', 'عبد الله بن محمد', 'عبد الله بن محمد بن أبي شيبة', 'عبد الله بن محمد بن شيبة', 'عبد الله بن محمد بن عثمان الحافظ الواسطي', 'عبد الله بن محمد هو ابن أبي شيبة', 'عبد الله بن محمد يعني ابن أبي شيبة', 'عمي', 'محمد بن أبي شيبة']",ثقة حافظ ، صاحب تصانيف,-,الحافظ,الواسطي الأصل ، الكوفي ، العبسي مولاهم ، الحافظ,العبسي مولاهم ، وابنه أبو شيبة إبراهيم بن أبي بكر بن أبي شيبة,-,أبو بكر,235 هـ ، أو 234 هـ,العاشرة,قال الفلاس : ما رأيت أحفظ منه . وقال صالح جزرة : هو أحفظ من أدركنا عند المناظرة,-,159 هـ,الكوفة,-,0,"[878, 290, 321, 330, 1607, 510, 2199, 315, 866, 397, 774, 516, 1236, 920, 918, 57, 466, 295, 820, 376, 633, 564, 234, 2100, 828, 239, 230, 471, 975, 995, 923, 914, 778, 9, 886, 1, 87, 155, 180, 368, 544, 543, 766, 558, 384, 169, 210, 285, 86, 416, 1084, 749, 299, 65, 741, 108, 459, 913, 783, 867, 334, 138, 590, 238, 433, 81, 689, 375, 875, 134, 15, 803, 157, 215, 351, 360, 220, 757, 377, 675, 2053, 333, 764, 347, 695, 1643, 676, 748, 352, 568, 357, 2, 850, 1027, 39, 151, 369, 723, 226, 121, 21, 71, 101, 1225, 178]","[294, 154, 415, 1314, 515, 588, 416, 63, 401, 46, 135, 1340, 849, 219, 125, 307, 574, 1059, 167, 132, 473, 74, 314, 123, 1341, 163, 79, 565, 1045, 319, 455, 153, 252, 655, 119, 739, 1522, 38, 647, 232, 1685, 346, 271, 527, 124, 899, 487, 665, 131, 526, 583]",748
حفص بن غياث بن طلق بن معاوية بن مالك بن الحارث بن ثعلبة بن عامر بن ربيعة بن عامر بن جشم بن وهبيل بن سعد بن مالك بن النخع,"['أبي', 'أبيه', 'حفص', 'حفص بن غياث', 'حفص بن غياث النخعي', 'حفص بن غياث بن طلق بن معاوية', 'حفص بن غياث بن طلق بن معاوية النخعي', 'حفص هو ابن غياث', 'حفص وهو ابن غياث', 'حفص يعنون ابن غياث', 'حفص يعني ابن غياث']",ثقة فقيه ، تغير حفظه قليلا في الآخر,-,الحافظ,النخعي ، الكوفي ، القاضي ،  الحافظ,والد: عمر ، غنام ، وابن عم : طلق بن غنام,-,أبو عمر,194 هـ ، وقيل : 195 هـ ، أو 196 هـ,الثامنة,قال يعقوب بن شيبة : ثبت إذا حدث من كتابه ، ويتقى بعض حفظه,بغداد : الجانب الشرقي ، الكوفة,117 هـ,-,-,1,"[692, 1123, 909, 397, 820, 467, 1007, 686, 779, 817, 102, 292, 217, 596, 639, 914, 677, 87, 544, 901, 1608, 426, 86, 299, 438, 16, 138, 83, 1012, 662, 663, 430, 96, 441, 157, 1705, 757, 377, 156, 714, 690, 378, 357, 260, 198, 1099, 2, 659, 280, 323, 304, 879, 1204]","[1286, 1209, 1411, 1004, 529, 116, 1646, 320, 75, 510, 154, 1105, 1049, 1191, 308, 120, 771, 1338, 969, 1922, 1505, 136, 927, 179, 371, 1875, 916, 210, 272, 416, 206, 355, 660, 576, 1250, 875, 267, 589, 0, 344, 347, 695, 613, 470, 1811, 748, 2158, 352, 568, 823, 107, 1101, 759, 413, 412, 369, 226, 656, 193]",183
محمد بن إسحاق بن يسار بن خيار ، ويقال : كوثان ، وقيل : ابن يسار بن كوثان,"['أبو إسحاق', 'إسحاق', 'ابن إسحاق', 'ابن إسحاق هو محمد', 'ابن إسحاق يعني محمد بن إسحاق', 'ابن إسحاق يعني محمد بن إسحاق بن يسار', 'ابن إسحاق يعني محمدا', 'محمد', 'محمد إسحاق', 'محمد بن إسحاق', 'محمد بن إسحاق الفقيه', 'محمد بن إسحاق المطلبي', 'محمد بن إسحاق بن بشار', 'محمد بن إسحاق بن يسار', 'محمد بن إسحاق هو ابن يسار', 'محمد بن إسحاق وهو ابن يسار مولى مخرمة', 'محمد بن مسلم', 'محمد هو ابن إسحاق', 'محمد هو ابن إسحاق بن يسار', 'محمد وهو ابن إسحاق', 'محمد يعني ابن إسحاق', 'محمد يعني ابن إسحاق بن يسار', 'محمود بن إسحاق']",صدوق يدلس ، ورمي بالتشيع والقدر,-,الأحول,المدني ، القرشي ، المطلبي مولاهم ، الأحول,جده يسار من سبي عين التمر ، عماه : عبد الرحمن بن يسار وموسى ، كاتبه هارون بن أبي عيسى ، مولى قيس بن مخرمة بن المطلب بن عبد مناف  ، إخوان أبو بكر وعمر ابنا إسحاق,رمي بالتشيع والقدر,أبو بكر ، ويقال : أبو عبد الله,قال عمرو بن علي ، وإبراهيم بن محمد بن عرفة : 150هـ ، وقال محمد بن سعد في موضع آخر : قال الهيثم بن عدي : 151 هـ ، قال : وقال ابنه : 150 هـ . وقال أحمد بن خالد الوهبي : 151 هـ ، وقال يحيى بن معين ، وعلي ابن المديني ، وزكريا بن يحيى الساجي : 152 هـ ، وقال خليفة بن خياط : 153 هـ ، 152 هـ,صغار الخامسة,كان صدوقا من بحور العلم ، وله غرائب في سعة ما روى تستنكر ، واختلف في الاحتجاج به ، وحديثه حسن ، وقد صححه جماعة,العراق ، المدينة ، الري,-,بغداد,الإسكندرية،  الكوفة، والجزيرة، الري، بغداد,2,"[281, 1241, 447, 743, 742, 1091, 1837, 13, 1123, 1795, 820, 376, 102, 261, 908, 174, 1621, 1454, 1088, 1885, 217, 1245, 1761, 596, 1018, 1484, 497, 544, 1297, 993, 711, 518, 322, 1702, 175, 696, 1707, 870, 906, 3, 702, 299, 197, 16, 398, 1248, 867, 138, 1220, 25, 420, 1012, 1160, 713, 12, 709, 1256, 1183, 275, 902, 354, 1355, 28, 185, 1119, 1481, 18, 251, 503, 265, 1074, 215, 1080, 1362, 967, 501, 797, 767, 22, 156, 29, 690, 1264, 300, 159, 382, 104, 363, 405, 653, 378, 402, 103, 17, 1130, 362, 84, 659, 273, 280, 600, 323, 304, 488, 2032, 302, 477, 571, 158]","[502, 2038, 1677, 510, 1049, 295, 961, 633, 239, 230, 471, 1, 603, 1001, 272, 40, 1707, 299, 65, 1079, 108, 867, 138, 689, 15, 215, 0, 360, 377, 279, 1027, 369, 723, 121, 158, 71, 101, 119]",300
سعيد بن عبد الرحمن بن أبي سعيد,"['سعيد بن عبد الرحمن بن أبي سعيد', 'سعيد بن عبد الرحمن بن أبي سعيد الخدري', 'سعيد بن عبد الرحمن وهو ابن أبي سعيد الخدري']",مقبول,-,-,الخدري ، الأنصاري ،  المدني,أخو ربيح بن عبد الرحمن,-,-,-,السابعة,وثق,-,-,-,-,3,"[1158, 4]","[1106, 2]",11963
يحيى بن عمارة بن أبي حسن,"['أبوه', 'أبي', 'أبيه', 'يحيى بن عمارة', 'يحيى بن عمارة الأنصاري', 'يحيى بن عمارة بن أبي الحسن', 'يحيى بن عمارة بن أبي حسن']",ثقة .,-,-,الأنصاري ، المازني ، المدني,والد عمرو بن يحيى بن عمارة,-,-,140 هـ,الثالثة,ثقة .,-,-,-,-,4,"[264, 478, 2179, 23]","[3, 159]",9153
محمد بن عبد الله بن محمد بن حمدويه بن نعيم بن الحكم,"['أبو أحمد الحافظ', 'أبو عبد الحافظ', 'أبو عبد الله', 'أبو عبد الله الحافظ', 'أبو عبد الله الحافظ محمد بن عبد الله', 'أبو عبد الله الحافظ محمد بن عبد الله الضبي', 'أبو عبد الله بن البياع الحافظ', 'أبو عبد الله محمد بن عبد الله', 'أبو عبد الله محمد بن عبد الله الحافظ', 'أبو عبد الله محمد بن عبد الله الضبي', 'أبو عبد الله محمد بن عبد الله بن محمد الحافظ', 'أبو علي الحافظ', 'الحاكم', 'الحاكم أبو عبد الله', 'الحاكم أبو عبد الله الحافظ', 'الحاكم أبو عبد الله محمد بن عبد الله', 'الحاكم أبو عبد الله محمد بن عبد الله الحافظ', 'الحاكم أبو عبد الله محمد بن عبد الله بن محمد بن حمدويه الحافظ', 'الحاكم الإمام أبي عبد الله محمد بن عبد الله بن حمدويه الحافظ', 'الحاكم الفاضل أبو عبد الله محمد بن عبد الله الحافظ', 'شيخ', 'عبد الله محمد بن عبد الله الحافظ', 'محمد', 'محمد بن عبد الله', 'محمد بن عبد الله الحافظ', 'محمد بن عبد الله بن محمد', 'محمد بن عبد الله بن محمد الحافظ', 'محمد بن عبد الله بن محمد بن حمدويه']",-,ابن البيع ، الحاكم,الحافظ,الحافظ ، الضبي ، الطهماني ، النيسابوري ، الحاكم,جد جدته عيسى بن عبد الرحمن الضبي,شيعي مشهور بذلك من غير تعرض للشيخين,أبو عبد الله,403 هـ ، أو 405 هـ,-,-,نيسابور,321 هـ,-,العراق ، بغداد ، الحجاز ، خرسان ، وما وراء النهر,5,"[1531, 1847, 1546, 445, 916, 16, 747, 93, 378, 499, 1150, 454, 99, 163, 602, 775, 591, 2136, 521, 67, 1233, 706, 1603, 1262, 328, 684, 469, 968, 45, 1966, 78, 204, 1920, 1502, 687, 1070, 1879, 2027, 1862, 1593, 201, 37, 648, 457, 1713, 880, 1712, 1135, 758, 720, 1078, 522, 455, 411, 192, 112, 1675, 1100, 1235, 345, 1214, 542, 921, 62, 514, 38, 612, 877, 855, 1927, 862, 1365, 223, 958, 1331, 68, 856, 150, 128, 738, 1037, 1369, 1745, 1016, 2142, 2034, 814, 428, 1544, 6, 435, 955, 1033, 719, 1089, 883, 2033, 30, 1222, 527, 1626, 693, 422, 664, 1668, 1864, 270, 400, 166, 1899, 391, 2149, 1358, 1495, 1910, 408, 222, 2054, 162, 2138, 1335, 2213, 550, 115, 1010, 2023, 1025, 623, 236, 1468, 1976, 1144]","[161, 44, 35, 111]",10
يحيى بن محمد بن عبد الله بن عنبر بن عطاء,"['أبو بكر يحيى بن محمد العنبري', 'أبو زكريا العنبري', 'أبو زكريا العنزي', 'أبو زكريا يحيى بن محمد العنبري', 'أبو زكريا يحيى بن محمد العنزي', 'أبو زكريا يحيى بن محمد بن عبد الله العنبري', 'أبو زكرياء العنبري', 'أبو زكرياء يحيى بن محمد العنبري', 'يحيى بن محمد العنبري', 'يحيى بن محمد بن عبد الله العنبري']",-,-,-,السلمي مولاهم ، العنبري ، النيسابوري ، المعدل ، الأديب,السلمي مولاهم,-,أبو زكريا,344 هـ,-,-,-,-,-,-,6,"[515, 289, 551, 1404, 1333, 7, 655, 739]","[5, 35]",1807
محمد بن يحيى بن مندة : إبراهيم بن الوليد بن سندة بن بطة بن أستندار بن جهار بخت,"['محمد بن إبراهيم العبدي', 'محمد بن يحيى', 'محمد بن يحيى بن منده', 'محمد بن يحيى بن منده الأصبهاني', 'محمد بن يحيى منده الأصفهاني']",-,-,الحافظ,العبدي مولاهم ، الأصبهاني ، الحافظ,جد صاحب التصانيف الحافظ أبي عبد الله محمد بن إسحاق بن محمد ،  العبدي مولاهم,-,أبو عبد الله,301 هـ,-,-,-,في حدود 220هـ,-,الكوفة ، البصرة ، أصبهان,7,"[476, 1810, 956, 927, 195, 113, 660, 576, 1833, 1612, 267, 1156, 999, 8, 1013, 1237, 759]","[1363, 514, 6, 131, 118, 141]",3834
القاسم بن زكريا بن دينار ، وربما نسب إلى جده,"['القاسم بن دينار', 'القاسم بن دينار الطحان', 'القاسم بن دينار الكوفي', 'القاسم بن زكريا', 'القاسم بن زكريا الكوفي', 'القاسم بن زكريا بن دينار', 'القاسم بن زكريا بن دينار الكوفي', 'القاسم بن زكريا بن دينار كوفي', 'القاسم بن زكرياء', 'القاسم بن زكرياء بن دينار', 'قاسم بن دينار']",ثقة,-,الطحان,القرشي ، الطحان ، الكوفي,-,-,أبو محمد,في حدود 250 هـ,الحادية عشرة,-,الكوفة,-,-,-,8,"[315, 1236, 466, 9, 155, 558, 210, 285, 206, 475, 2053, 333, 1207, 748, 352]","[46, 307, 228, 69, 473, 74, 314, 123, 7, 720, 124]",5540
الحسين بن علي بن الوليد,"['ابن علي', 'الجعفي هو الحسين بن علي', 'الحسن', 'الحسين', 'الحسين الجعفي', 'الحسين بن علي', 'الحسين بن علي الجعفي', 'الحسين يعني الجعفي', 'حسن بن علي الجعفي', 'حسين', 'حسين الجعفي', 'حسين الجعفي وهو ابن علي', 'حسين بن علي', 'حسين بن علي الجعفي', 'حسين بن علي يعني الجعفي', 'حسين وهو ابن علي', 'حسين وهو ابن علي الجعفي', 'حسين يعني ابن علي', 'حسين يعني ابن علي الجعفي', 'حسين يعني الجعفي']",ثقة عابد,-,-,الجعفي مولاهم ، الكوفي ، المقرئ ، الزاهد,الجعفي مولاهم ، وأخو الوليد بن علي ، وابن أخت الحسن بن الحر,-,أبو عبد الله ، ويقال : أبو محمد,203 هـ ، أو 204 هـ,التاسعة,قال أحمد : ما رأيت أفضل منه ، ومن سعيد بن عامر,الكوفة,119 هـ,-,-,9,"[594, 217, 552, 1001, 1590, 65, 867, 138, 93, 96, 377, 357, 879, 423, 724]","[658, 458, 510, 1138, 1173, 154, 284, 415, 1049, 818, 920, 755, 1505, 179, 445, 133, 747, 401, 267, 589, 0, 1156, 534, 347, 636, 613, 8, 615, 107, 332, 759, 512, 1767, 74]",1069
